RPS,Ion,,Expected downtime (days),,,,,,,,,Ion,RPS,Expected downtime (days),Availability,,,
s_parts=159,s_parts=7,21068.86263,21.06886263,,,,,,,,,7,159,21.06886263,99.86%,,,22.78992032
s_parts=158,s_parts=7,21068.87281,21.06887281,,,,,,,,,7,158,21.06887281,99.86%,,,
s_parts=157,s_parts=7,21068.88899,21.06888899,,,,,,,,,7,157,21.06888899,99.86%,,,
s_parts=156,s_parts=7,21068.91457,21.06891457,,,,,,,,,7,156,21.06891457,99.86%,,,
s_parts=155,s_parts=7,21068.95475,21.06895475,,,,,,,,,7,155,21.06895475,99.86%,,,
s_parts=154,s_parts=7,21069.01747,21.06901747,,,,,,,,,7,154,21.06901747,99.86%,,,
s_parts=153,s_parts=7,21069.11476,21.06911476,,,,,,,,,7,153,21.06911476,99.86%,,,
s_parts=152,s_parts=7,21069.26472,21.06926472,,,,,,,,,7,152,21.06926472,99.86%,,,
s_parts=142,s_parts=8,21069.48405,21.06948405,,,,,,,,,8,142,21.06948405,99.86%,,,
s_parts=151,s_parts=7,21069.49437,21.06949437,,,,,,,,,7,151,21.06949437,99.86%,,,
s_parts=150,s_parts=7,21069.84382,21.06984382,,,,,,,,,7,150,21.06984382,99.86%,,,
s_parts=149,s_parts=7,21070.37216,21.07037216,,,,,,,,,7,149,21.07037216,99.86%,,,
s_parts=148,s_parts=7,21071.16579,21.07116579,,,,,,,,,7,148,21.07116579,99.86%,,,
s_parts=147,s_parts=7,21072.35018,21.07235018,,,,,,,,,7,147,21.07235018,99.86%,,,
s_parts=146,s_parts=7,21074.10618,21.07410618,,,,,,,,,7,146,21.07410618,99.86%,,,
s_parts=145,s_parts=7,21076.69261,21.07669261,,,,,,,,,7,145,21.07669261,99.86%,,,
s_parts=141,s_parts=10,21078.06748,21.07806748,,,,,,,,,10,141,21.07806748,99.86%,,,
s_parts=141,s_parts=9,21078.31224,21.07831224,,,,,,,,,9,141,21.07831224,99.86%,,,
s_parts=144,s_parts=7,21080.47708,21.08047708,,,,,,,,,7,144,21.08047708,99.86%,,,
s_parts=141,s_parts=8,21080.87544,21.08087544,,,,,,,,,8,141,21.08087544,99.86%,,,
s_parts=143,s_parts=7,21085.9779,21.0859779,,,,,,,,,7,143,21.0859779,99.86%,,,
s_parts=142,s_parts=7,21093.92032,21.09392032,,,,,,,,,7,142,21.09392032,99.86%,,,
s_parts=140,s_parts=10,21094.29569,21.09429569,,,,,,,,,10,140,21.09429569,99.86%,,,
s_parts=140,s_parts=9,21094.54045,21.09454045,,,,,,,,,9,140,21.09454045,99.86%,,,
s_parts=140,s_parts=8,21097.10361,21.09710361,,,,,,,,,8,140,21.09710361,99.86%,,,
